SpeciesCode|Mobility|SpeciesName|CommonName|MajorTaxa|Group|QuantScale
shc|hm|Loxorhyncus grandis|Sheep Crab|Arthropoda|Epialtid|individuals
sl|m|Metacarcinus gracilis|Slender Crab|Arthropoda|Cancrid|individuals
sm|s|Styela montereyensis|Stalked tunicate|Urochordata|Styelid|individuals
spo|s|*|Unknown sponge|Porifera|Demospongiae|individuals
sq|hm|Doryteuthis opalescens|Market squid|Mollusca|Loligonid|individuals
ss|m|Pisaster brevispinus|Shortspined SeaStar|Echinodermata|Asteroid|individuals
st|s|Stylatula elongata|Slender Sea Pen|Cnidaria|Virgulariid|individuals
te|s|Tethya aurantia|Orange Puffball Sponge|Porifera|Demospongiae|individuals
th|s|Thesea sp.|Yellow Sea Twig|Cnidaria|Muriceid|individuals
ti|hm|Sebastes nigrocinctus|Tiger Rockfish|Chordata|Sebastid|individuals
tr|hm|Sebastes serriceps|Treefish|Chordata|Sebastid|individuals
unkss|m|*|Unknown Seastar|Echinodermata|Asteroid|individuals
vm|s|Virgularia californica|California Sea Pen|Cnidaria|Virgulariid|individuals
vr|hm|Sebastes miniatus|Vermillion Rockfish|Chordata|Sebastid|individuals
vs|s|Stylissa stipitata|Vase Sponge|Porifera|Demospongiae|individuals
wfs|s|Toxadocia spp.|White Finger Sponges|Porifera|Demospongiae|individuals
xl|hm|Xystreurys liolepis|Fantail Sole|Chordata|Paralichthyid|individuals
ye|m|Metacarcinus anthonyi|Yellow Crab|Arthropoda|Canchrid|individuals
za|hm|Zalophus californianus|California Sea Lion|Chordata|Oteriid|individuals
